序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
50,澳洲,蝸牛少女回憶錄,2025/5/16,好威映象有限公司,Charades S.A.S,1,6,0.00%,"1,560","2,021","487,674"
51,美國,絕命終結站 血脈,2025/5/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,12,337,-78.52%,"94,074","310,218","87,547,086"
52,法國,頤和園,2025/5/9,聯影企業股份有限公司,WILD BUNCH,1,90,114.29%,"19,975","5,399","1,255,353"
53,中華民國,沈睡的水下巨人,2025/4/25,牽猴子股份有限公司,動能意像製作有限公司##台灣連線股份有限公司,1,48,-23.81%,"11,040","11,035","2,740,698"
54,法國,北極小迷狐:吉娜&尤克,2025/4/25,中影股份有限公司,TF1 STUDIO,1,57,-52.50%,"13,870","1,945","445,613"
55,美國,會計師 2,2025/4/21,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,168,0.00%,"23,010","187,003","51,025,156"
56,美國,萬王之王,2025/4/18,車庫娛樂股份有限公司,Angel Studios  Inc.,1,104,-50.48%,"23,920","63,827","15,105,808"
57,中華民國,跳進部落的孩子,2025/4/17,摩登星球影業有限公司,摩登星球影業有限公司##希望影視行銷股份有限公司,1,81,131.43%,"18,630","3,215","758,740"
58,美國,罪人,2025/4/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,119,-21.71%,"29,910","96,974","29,507,774"
59,美國,無線殺機,2025/4/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,175,33.59%,"13,125","10,653","2,681,694"
60,中華民國,器子,2025/4/11,華映國際文創股份有限公司,華映娛樂股份有限公司##三皇生物科技股份有限公司##大慕可可股份有限公司##中環國際娛樂事業股份有限公司##台灣大哥大股份有限公司##有戲娛樂股份有限公司##艾迪昇傳播事業有限公司##涂成樞##星泰國際娛樂股份有限公司##轅年視覺創意股份有限公司##鏡文學股份有限公司##文化內容策進院##凡宇興業有限公司,2,303,23.17%,"30,840","76,061","19,346,625"
61,英國,叛逃公主歷險記,2025/4/4,原創娛樂股份有限公司,KALEIDOSCOPE FILM DISTRIBUTION LIMITED,1,142,63.22%,"10,650","3,903","916,948"
62,泰國,曼谷淪陷,2025/4/2,威視股份有限公司,Atrium Productions Kft.,1,112,-52.54%,"8,400","14,725","3,614,522"
63,美國,MINECRAFT 麥塊電影,2025/4/2,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,476,6.01%,"51,485","488,409","137,333,854"
64,中華民國,有病才會喜歡你,2025/4/2,紅杉娛樂股份有限公司,紅杉娛樂股份有限公司##網銀國際影視股份有限公司##新橋實業股份有限公司##有病才會喜歡你股份有限公司,2,190,-62.45%,"53,560","232,185","62,371,552"
65,中華民國,燈塔水母的秘密,2025/3/28,群和國際文化事業有限公司,呂世光##呂林春惠,1,30,0.00%,"7,500","4,676","1,104,340"
66,澳洲,當我們懶在一起,2025/3/28,可樂藝術文創股份有限公司,SOLA MEDIA GmbH,1,68,0.00%,"5,100","4,982","1,145,865"
67,香港,惡行之外,2025/3/28,華映國際文創股份有限公司,天下一電影製作有限公司##安漫奇製作有限公司##上海聯瑞小樹苗影業有限公司##霍爾果斯聯瑞影業有限公司##浙江聯瑞影業有限公司##匯凡影業（上海）有限公司##大名娛樂有限公司,1,34,-71.90%,"2,550","1,674","377,478"
68,南韓,大畫特務2,2025/3/21,可樂藝術文創股份有限公司,KT Studiogenie Co.  Ltd,1,160,0.00%,"12,000","5,630","1,356,294"
69,美國,白雪公主,2025/3/20,台灣華特迪士尼股份有限公司,BUENA VISTA INTERNATIONAL  INC.,2,381,-12.01%,"58,770","89,837","24,678,244"
70,英國,秘密會議,2025/3/7,傳影互動股份有限公司,GEM Entertainment Kft.,2,236,84.38%,"24,890","32,405","8,520,217"
71,美國,米奇17號,2025/3/6,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,27,-66.67%,"2,025","195,469","56,383,633"
72,日本,風之谷,2025/3/6,香港商甲上娛樂有限公司台灣分公司,Studio Ghibli Inc.,1,130,0.00%,"24,700","160,048","43,103,393"
73,美國,吸血鬼：諾斯費拉圖,2025/2/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,41,-67.20%,"3,075","14,564","3,924,665"
74,日本,劇場版派遣女醫X FINAL,2025/2/18,采昌國際多媒體股份有限公司,TV Asahi Corporation,1,25,-68.75%,"1,875","24,537","6,414,185"
75,日本,劇場版 忍者亂太郎 毒竹忍者隊最強之軍師,2025/1/15,華映國際文創股份有限公司,松竹株式會社,1,50,-38.27%,"11,500","22,834","5,817,832"
76,中華民國,交換禮物,2024/12/25,台北双喜電影發行股份有限公司,寬魚國際股分有限公司##六六喜喜股份有限公司##影市堂股份有限公司##文化內容策進院,1,56,-66.67%,"17,920","34,737","8,633,447"
77,中華民國,台灣超人,2024/12/6,牽猴子股份有限公司,美力台灣3D協會,7,"1,640",-67.09%,"411,050","125,822","29,926,132"
78,加拿大,國有器官,2024/8/30,台灣新世紀影視股份有限公司,如意影視制作公司(Rooyee Films Production Inc.),1,20,-50.00%,"4,270","14,126","3,228,116"
79,法國,雙面薇若妮卡 經典數位修復,2024/3/1,天馬行空數位有限公司,MK2–Société par Actions Simplifiée,1,89,0.00%,"19,130",238,"51,575"
80,美國,一個人的逃亡,2024/1/19,采昌國際多媒體股份有限公司,PATHE FUND LIMITED,1,40,0.00%,"8,800","5,563","1,298,614"
81,日本,坂本龍一：OPUS,2023/12/31,采昌國際多媒體股份有限公司,Film Constellation Ltd.,1,4,0.00%,720,"12,149","3,377,744"
82,法國,紅色情深 經典數位修復,2023/10/14,天馬行空數位有限公司,MK2–Société par Actions Simplifiée,1,58,0.00%,"12,385",233,"48,890"
83,法國,白色情迷 經典數位修復,2023/10/7,天馬行空數位有限公司,MK2–Société par Actions Simplifiée,1,72,0.00%,"15,360",232,"48,995"
84,法國,藍色情挑 經典數位修復,2023/9/30,天馬行空數位有限公司,MK2–Société par Actions Simplifiée,1,89,0.00%,"18,905",265,"55,680"
85,日本,心之谷,2023/4/25,政駒實業有限公司,SHOCHIKU CO.  LTD,13,243,-81.96%,"60,305","53,131","14,310,177"
86,日本,通往夏天的隧道，再見的出口,2022/12/2,車庫娛樂股份有限公司,RELAY MOTION KFT.,30,"1,051",-44.57%,"295,643","64,136","16,243,571"
87,中華民國,香蕉天堂,2022/10/23,桃園市政府文化局,中影股份有限公司,1,49,0.00%,"10,250",81,"14,780"
88,日本,花束般的戀愛,2021/7/16,車庫娛樂股份有限公司,TOKYO BROADCASTING SYSTEM TELEVISION  INC.,5,221,-43.04%,"58,720","76,249","20,439,904"
89,日本,劇場版「鬼滅之刃」無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,22,"1,796",129.67%,"526,963","2,604,891","635,739,577"
90,日本,阿基拉,2020/6/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,51,"2,285",-58.90%,"602,801","52,825","14,974,622"
91,日本,普羅米亞,2019/8/16,中影股份有限公司,東寶株式會社,1,70,0.00%,"16,800","82,830","23,433,557"
92,日本,坂本龍一：終章,2018/7/13,佳映娛樂國際股份有限公司,(法國)DOC AND FILM INTERNATIONAL,1,7,0.00%,"1,810","11,454","2,566,236"
93,美國,坂本龍一:async紐約現場,2018/7/13,佳映娛樂國際股份有限公司,(法國)DOC AND FILM INTERNATIONAL,1,12,0.00%,"1,970","1,215","292,796"
